Date,Artist,Song
January 01,GFriend,Rough
January 01,GFriend,Rough
January 01,GFriend,Rough
January 01,GFriend,Navillera
January 01,GFriend,Navillera
January 01,GFriend,Navillera
January 01,Twice,TT
January 01,Twice,TT
January 01,Twice,Cheer Up
January 01,Twice,Cheer Up
January 01,Twice,Cheer Up
January 01,EXO,Monster
January 01,EXO,Monster
January 01,EXO,Monster
January 01,Mamamoo,You're The Best
January 01,EXO,Louder (Lotto)
January 01,EXO,Louder (Lotto)
January 01,CNBLUE,You're So Fine
January 01,Red Velvet,Russian Roulette
January 01,Red Velvet,Russian Roulette
January 01,BTS,"Blood Sweat & Tears"
January 01,I.O.I,Whatta Man
January 01,Got7,Hard Carry
January 01,Red Velvet,One of these Nights
January 01,Wonder Girls,Why So Lonely
January 01,Got7,Fly
January 01,Sistar,I Like That
January 01,Shinee,1 of 1
January 01,Taemin,Press Your Number
January 01,I.O.I,Very Very Very
January 01,Seventeen,Boom Boom
January 01,Block B,Toy
January 01,BtoB,Remember That
January 01,iKon,Dumb & Dumber
January 01,iKon,Dumb & Dumber
January 01,iKon,Dumb & Dumber
January 01,Baek,A-yeon	So-So
January 01,Baek,A-yeon	So-So
January 01,BTS,Fire
January 01,Infinite,The Eye
January 01,BLACKPINK,Whistle
January 01,Big Bang,Fxxk It
January 01,Lee Hi,Breathe
January 01,Jung Eun-ji,Hopefully Sky
January 01,Hyuna,How's This
January 01,Psy,Daddy
January 01,Winner,Sentimental
