Artist,Song,Wins
GFriend,Rough,3
GFriend,Navillera,3
Twice,TT,2
Twice,Cheer Up,3
EXO,Monster,3
Mamamoo,You're The Best,1
EXO,Louder (Lotto),2
CNBLUE,You're So Fine,1
Red Velvet,Russian Roulette,2
BTS,"Blood, Sweat & Tears",1
VIXX,Dynamite,0
I.O.I,Whatta Man,1
Got7,Hard Carry,1
Red Velvet,One of these Nights,1
Suzy & Baekhyun,Dream,0
EXID,L.I.E,0
Wonder Girls,Why So Lonely,1
Got7,Fly,1
Sistar,I Like That,1
Shinee,1 of 1,1
Im Chang Jung,The Love That I Committed,0
VIXX,Fantasy,0
Taemin,Press Your Number,1
B1A4,A Lie,0
I.O.I,Very Very Very,1
Seventeen,Boom Boom,1
Block B,Toy,1
BtoB,Remember That,1
iKon,Dumb & Dumber,3
Baek,A-yeon	So-So,2
BTS,Fire,1
Infinite,The Eye,1
BLACKPINK,Whistle,1
Big Bang,Fxxk It,1
Tiffany,I Just Wanna Dance,0
AOA,Good Luck,0
Teen Top,Warning Sign,0
Jonghyun,She Is,0
Seventeen,Pretty U,0
Beast,Ribbon,0
Lee Hi,Breathe,1
Jung Eun-ji,Hopefully Sky,1
Hyuna,How's This,1
BLACKPINK,Playing With Fire,0
SS301,Pain,0
B.A.P,Feel So Good,0
B.A.P,Skydive,0
Mamamoo,Decalcomanie,0
VIXX,The Closer,0
F.T.Island,Take Me Now,0
EXO-CBX,Hey Mama!,0
Crush,Don't Forget,0
Kim Se-jeong,Flower Way,0
Psy,Daddy,1
Winner,Sentimental,1
EXO,For Life,0
Han Dong Geun,Making A New Ending For This Story,0
Taeyeon,Starlight,0
Big Bang,Last Dance,0
Turbo,Again,0
Gary,Lonely Night,0
Taeyeon,Rain,0
Taeyeon,Why,0
Block B,A Few Years Later,0
10cm,What The Spring??,0
Zico,Bermuda Triangle,0
Heize,Star,0
